date,dutch_sales,frozen_juice
5/1/1960,14,39.8
6/1/1960,13,39.8
7/1/1960,15,39.8
8/1/1960,13,39.8
9/1/1960,13,42.2
10/1/1960,15,43.1
11/1/1960,15,43.1
12/1/1960,16,43.1
1/1/1961,14,50.1
2/1/1961,12,50.1
3/1/1961,15,50.1
4/1/1961,15,50.1
5/1/1961,15,44.2
6/1/1961,14,44.2
7/1/1961,16,44.5
8/1/1961,14,44.5
9/1/1961,15,44.5
10/1/1961,15,44.2
11/1/1961,16,44.2
12/1/1961,18,44.2
1/1/1962,15,39.8
2/1/1962,13,39.5
3/1/1962,16,35.2
4/1/1962,16,35.2
5/1/1962,17,35.2
6/1/1962,17,35.4
7/1/1962,17,35.7
8/1/1962,15,35.7
9/1/1962,16,35.5
10/1/1962,17,35.4
11/1/1962,18,35.3
12/1/1962,20,35.1
1/1/1963,17,52.9
2/1/1963,14,51.9
3/1/1963,17,56.7
4/1/1963,18,63.8
5/1/1963,19,63.8
6/1/1963,17,63.8
7/1/1963,19,65.5
8/1/1963,18,65.5
9/1/1963,17,65.5
10/1/1963,20,65.5
11/1/1963,21,65.5
12/1/1963,22,65.5
1/1/1964,19,65.5
2/1/1964,17,65.5
3/1/1964,19,65.5
4/1/1964,19,65.4
5/1/1964,22,59.3
6/1/1964,19,59.3
7/1/1964,22,59.3
8/1/1964,18,59.2
9/1/1964,20,59.2
10/1/1964,23,59.2
11/1/1964,22,59.2
12/1/1964,25,59.2
1/1/1965,21,59.2
2/1/1965,18,47.2
3/1/1965,21,47.2
4/1/1965,23,45.4
5/1/1965,23,39.9
6/1/1965,21,39.9
7/1/1965,25,39.9
8/1/1965,20,39.9
9/1/1965,23,39.9
10/1/1965,25,39.9
11/1/1965,25,39.9
12/1/1965,30,39.9
1/1/1966,23,36
2/1/1966,19,38.6
3/1/1966,23,37.9
4/1/1966,25,37.7
5/1/1966,25,40.1
6/1/1966,24,40.1
7/1/1966,25,40.1
8/1/1966,22,40.1
9/1/1966,24,40.1
10/1/1966,25,40.1
11/1/1966,27,40.1
12/1/1966,29,40.1
1/1/1967,24,40.1
2/1/1967,20,30.1
3/1/1967,25,30.1
4/1/1967,25,30.6
5/1/1967,26,29.5
6/1/1967,26,29.5
7/1/1967,25,30.2
8/1/1967,24,30.2
9/1/1967,26,30.2
10/1/1967,26,30.7
11/1/1967,29,35
12/1/1967,31,34.9
1/1/1968,26,36.8
2/1/1968,23,36.7
3/1/1968,27,39.1
4/1/1968,27,39.2
5/1/1968,29,39.2
6/1/1968,26,39.2
7/1/1968,27,39.2
8/1/1968,26,41.3
9/1/1968,26,41.3
10/1/1968,29,41.3
11/1/1968,32,41.3
12/1/1968,34,41.3
1/1/1969,27,42.2
2/1/1969,25,46.2
3/1/1969,30,47.4
4/1/1969,30,47.4
5/1/1969,33,43.7
6/1/1969,29,42.2
7/1/1969,30,42.2
8/1/1969,29,42.2
9/1/1969,30,42.2
10/1/1969,34,42.2
11/1/1969,34,42.2
12/1/1969,37,42.2
1/1/1970,33,42.2
2/1/1970,27,42.2
3/1/1970,32,37.5
4/1/1970,33,37.5
5/1/1970,36,37.5
6/1/1970,33,37.5
7/1/1970,35,37.1
8/1/1970,31,37.3
9/1/1970,33,37.5
10/1/1970,40,35.2
11/1/1970,38,35.1
12/1/1970,44,35.2
1/1/1971,34,35.3
2/1/1971,30,36.6
3/1/1971,36,37.9
4/1/1971,38,38.5
5/1/1971,39,41.8
6/1/1971,37,43.1
7/1/1971,38,44.6
8/1/1971,34,45.2
9/1/1971,38,45.2
10/1/1971,42,45.2
11/1/1971,42,45.2
12/1/1971,46,45.2
1/1/1972,37,45.1
2/1/1972,35,45.1
3/1/1972,43,45.1
4/1/1972,40,45.1
5/1/1972,42,45.1
6/1/1972,43,45.1
7/1/1972,40,45.1
8/1/1972,39,45.1
9/1/1972,43,45.1
10/1/1972,45,45.1
11/1/1972,47,45.1
12/1/1972,51,45.1
1/1/1973,42,45.1
2/1/1973,39,45.1
3/1/1973,46,45.1
4/1/1973,45,45.1
5/1/1973,49,44
6/1/1973,49,45.1
7/1/1973,44,44
8/1/1973,45,44
9/1/1973,46,44
10/1/1973,51,45.1
11/1/1973,54,45.1
12/1/1973,58,45.1
1/1/1974,47,45.3
2/1/1974,43,45
3/1/1974,51,45
4/1/1974,51,45
5/1/1974,56,45
6/1/1974,52,45
7/1/1974,52,45
8/1/1974,52,45
9/1/1974,52,45.4
10/1/1974,58,45.9
11/1/1974,60,47
12/1/1974,61,47.5
1/1/1975,54,49.5
2/1/1975,49,49.7
3/1/1975,57,49.7
4/1/1975,57,49.7
5/1/1975,63,49.7
6/1/1975,57,49.7
7/1/1975,57,49.5
8/1/1975,56,49.5
9/1/1975,60,49.5
10/1/1975,67,51.5
11/1/1975,64,52
12/1/1975,74,52
1/1/1976,60,52
2/1/1976,54,51.4
3/1/1976,62,51.4
4/1/1976,67,52
5/1/1976,67,52
6/1/1976,66,48.8
7/1/1976,64,47.7
8/1/1976,61,47.7
9/1/1976,71,47.7
10/1/1976,69,47.7
11/1/1976,70,47.7
12/1/1976,80,45.6
1/1/1977,67,44.5
2/1/1977,59,60.6
3/1/1977,71,60.1
4/1/1977,73,60.1
5/1/1977,72,60.1
6/1/1977,78,63.5
7/1/1977,72,63.5
8/1/1977,69,69
9/1/1977,74,70.4
10/1/1977,76,70.4
11/1/1977,77,75.5
12/1/1977,81,76.6
1/1/1978,76,76.6
2/1/1978,65,76.6
3/1/1978,82,76.7
4/1/1978,77,76.7
5/1/1978,80,76.7
6/1/1978,81,76.7
7/1/1978,72,76.7
8/1/1978,74,76.7
9/1/1978,80,76.7
10/1/1978,80,76.7
11/1/1978,82,79.7
12/1/1978,81,82.7
1/1/1979,76,82.7
2/1/1979,67,82.7
3/1/1979,87,82.7
4/1/1979,80,82.7
5/1/1979,85,82.7
6/1/1979,83,82.7
7/1/1979,73,82.7
8/1/1979,77,82.7
9/1/1979,76,82.7
10/1/1979,85,82.7
11/1/1979,86,82.7
12/1/1979,83,82.7
1/1/1980,86,82.7
2/1/1980,73,82.7
3/1/1980,82,82.7
4/1/1980,82,80.8
5/1/1980,88,80.8
6/1/1980,80,79.2
7/1/1980,77,79.2
8/1/1980,77,79.2
9/1/1980,78,79.2
10/1/1980,87,79.2
11/1/1980,82,75.1
12/1/1980,84,75.1
1/1/1981,86,76.6
2/1/1981,72,89
3/1/1981,81,99.2
4/1/1981,85,107.4
5/1/1981,86,107.4
6/1/1981,82,107.4
7/1/1981,82,107.4
8/1/1981,73,107.4
9/1/1981,78,106.6
10/1/1981,89,106.1
11/1/1981,78,102.7
12/1/1981,86,99.5
1/1/1982,82,99.4
2/1/1982,73,107.3
3/1/1982,83,106.3
4/1/1982,86,103.7
5/1/1982,85,100.2
6/1/1982,84,98
7/1/1982,82,98.1
8/1/1982,75,97.6
9/1/1982,82,97.8
10/1/1982,89,97.7
11/1/1982,86,97.7
12/1/1982,98,96.3
1/1/1983,77,96.6
2/1/1983,72,95.6
3/1/1983,83,95.2
4/1/1983,83,95
5/1/1983,83,96
6/1/1983,85,95.5
7/1/1983,82,95.6
8/1/1983,78,95.6
9/1/1983,86,96.1
10/1/1983,85,96.1
11/1/1983,86,96.5
12/1/1983,98,96.5
1/1/1984,77,100.5
2/1/1984,73,114.9
3/1/1984,83,118.6
4/1/1984,81,120.8
5/1/1984,84,122.4
6/1/1984,87,125.5
7/1/1984,79,123.1
8/1/1984,81,124.6
9/1/1984,83,128.3
10/1/1984,87,130.3
11/1/1984,89,129.7
12/1/1984,95,129.5
1/1/1985,78,127.3
2/1/1985,71,133.1
3/1/1985,83,133.2
4/1/1985,84,132.9
5/1/1985,89,133.5
6/1/1985,84,132.4
7/1/1985,82,130.5
8/1/1985,86,126
9/1/1985,81,123.9
10/1/1985,91,119.3
11/1/1985,92,114.9
12/1/1985,95,112.8
1/1/1986,82,104.4
2/1/1986,72,102.2
3/1/1986,83,97.6
4/1/1986,84,94.4
5/1/1986,93,94.1
6/1/1986,83,94.3
7/1/1986,84,94.2
8/1/1986,85,94.2
9/1/1986,87,93.7
10/1/1986,92,96
11/1/1986,88,98.6
12/1/1986,100,101.4
1/1/1987,86,106.9
2/1/1987,75,106.9
3/1/1987,82,107.4
4/1/1987,91,109.5
5/1/1987,92,109.7
6/1/1987,88,110
7/1/1987,90,110.1
8/1/1987,84,111
9/1/1987,87,110.6
10/1/1987,98,110.6
11/1/1987,88,117.2
12/1/1987,105,129.9
1/1/1988,81,132.1
2/1/1988,76,140.1
3/1/1988,88,142.4
4/1/1988,92,140.5
5/1/1988,88,142
6/1/1988,90,141.1
7/1/1988,89,141.6
8/1/1988,85,142
9/1/1988,91,141.7
10/1/1988,93,140.7
11/1/1988,93,140.8
12/1/1988,109,139.1
1/1/1989,82,136.4
2/1/1989,78,127.7
3/1/1989,94,126.5
4/1/1989,91,126.5
5/1/1989,96,131.7
6/1/1989,98,139.2
7/1/1989,91,140.6
8/1/1989,91,140.3
9/1/1989,97,134
10/1/1989,97,131.6
11/1/1989,100,123.1
12/1/1989,112,121.7
1/1/1990,88,137.6
2/1/1990,83,162.4
3/1/1990,101,162.8
4/1/1990,97,159.9
5/1/1990,103,159.7
6/1/1990,103,160
7/1/1990,95,160.4
8/1/1990,98,160.8
9/1/1990,102,150.9
10/1/1990,104,147.2
11/1/1990,107,120.9
12/1/1990,119,117.8
1/1/1991,96,114.4
2/1/1991,87,114.4
3/1/1991,105,111.7
4/1/1991,101,111.7
5/1/1991,108,111
6/1/1991,106,111
7/1/1991,103,111
8/1/1991,104,107.2
9/1/1991,100,107.4
10/1/1991,112,116
11/1/1991,111,127.3
12/1/1991,119,131.5
1/1/1992,101,135.1
2/1/1992,95,134.7
3/1/1992,100,134.7
4/1/1992,107,134.3
5/1/1992,112,126.2
6/1/1992,106,118.5
7/1/1992,109,115.5
8/1/1992,101,114.5
9/1/1992,107,112.5
10/1/1992,116,106.5
11/1/1992,105,104.2
12/1/1992,128,98.8
1/1/1993,98,91.6
2/1/1993,90,88.8
3/1/1993,106,88.2
4/1/1993,110,89
5/1/1993,111,89.3
6/1/1993,112,97.5
7/1/1993,114,104.5
8/1/1993,102,104.5
9/1/1993,111,104.7
10/1/1993,113,104.7
11/1/1993,109,107.9
12/1/1993,129,107.9
1/1/1994,97,107.9
2/1/1994,92,104.8
3/1/1994,110,104.2
4/1/1994,110,104.2
5/1/1994,109,102.7
6/1/1994,114,101.2
7/1/1994,109,100.2
8/1/1994,104,100.1
9/1/1994,114,99.9
10/1/1994,111,99.8
11/1/1994,111,100.7
12/1/1994,131,100.5
1/1/1995,98,107.4
2/1/1995,93,106.4
3/1/1995,111,107.6
4/1/1995,107,107.6
5/1/1995,114,109.1
6/1/1995,116,109.1
7/1/1995,107,109.1
8/1/1995,106,105.3
9/1/1995,115,101
